source_url,target_url,status_code
https://quantumbitsolutions.com/help/,https://docs.quantumbitsolutions.com/,301
https://quantumbitsolutions.com/guide/,https://docs.quantumbitsolutions.com/products/android/advanced-guide/,301
https://quantumbitsolutions.com/sniff-help/,https://docs.quantumbitsolutions.com/products/mapper/user-manual/,301
https://quantumbitsolutions.com/xpf-help/,https://docs.quantumbitsolutions.com/products/xpf/user-guide/,301
https://quantumbitsolutions.com/modbus-mapper-pro-quick-start-demo/,https://docs.quantumbitsolutions.com/products/mapper/quick-start/,301
https://quantumbitsolutions.com/mmhelp/,https://docs.quantumbitsolutions.com/products/android/free-guide/,301
https://quantumbitsolutions.com/arduino-modbus-server/,https://docs.quantumbitsolutions.com/technical/server-setup/,301
https://quantumbitsolutions.com/sheets/,https://docs.quantumbitsolutions.com/guides/android-sheets-addon/,301
https://quantumbitsolutions.com/hardware/,https://docs.quantumbitsolutions.com/technical/hardware/,301
https://quantumbitsolutions.com/address/,https://docs.quantumbitsolutions.com/guides/6-digit-addressing/,301
https://quantumbitsolutions.com/bluetooth/,https://docs.quantumbitsolutions.com/guides/android-hardware/,301
https://quantumbitsolutions.com/faq/,https://docs.quantumbitsolutions.com/support/faq/,301
https://quantumbitsolutions.com/importexport/,https://docs.quantumbitsolutions.com/technical/import-export/,301
https://quantumbitsolutions.com/errors/,https://docs.quantumbitsolutions.com/technical/error-codes/,301
https://quantumbitsolutions.com/server/,https://docs.quantumbitsolutions.com/technical/server-setup/,301
https://quantumbitsolutions.com/sensor-1/,https://docs.quantumbitsolutions.com/technical/server-setup/,301
https://quantumbitsolutions.com/serialport/,https://docs.quantumbitsolutions.com/technical/serial-ports/,301
https://quantumbitsolutions.com/help-test/,https://docs.quantumbitsolutions.com/support/,301
https://quantumbitsolutions.com/purchase/,https://docs.quantumbitsolutions.com/downloads-purchase/,301
