Old WordPress URL,New Docs URL,Status Code,Notes
https://quantumbitsolutions.com/help/,https://docs.quantumbitsolutions.com/?utm_source=wordpress&utm_medium=redirect&utm_campaign=help-migration&utm_content=help,301,Main help to docs landing page
https://quantumbitsolutions.com/guide/,https://docs.quantumbitsolutions.com/products/android/advanced-guide/?utm_source=wordpress&utm_medium=redirect&utm_campaign=help-migration&utm_content=guide,301,Android Advanced User Manual
https://quantumbitsolutions.com/sniff-help/,https://docs.quantumbitsolutions.com/products/mapper/user-manual/?utm_source=wordpress&utm_medium=redirect&utm_campaign=help-migration&utm_content=sniff-help,301,Modbus Mapper Pro User Manual
https://quantumbitsolutions.com/xpf-help/,https://docs.quantumbitsolutions.com/products/xpf/user-guide/?utm_source=wordpress&utm_medium=redirect&utm_campaign=help-migration&utm_content=xpf-help,301,XPF User Manual
https://quantumbitsolutions.com/modbus-mapper-pro-quick-start-demo/,https://docs.quantumbitsolutions.com/products/mapper/quick-start/?utm_source=wordpress&utm_medium=redirect&utm_campaign=help-migration&utm_content=modbus-mapper-pro-quick-start-demo,301,Mapper Quick Start Demo
https://quantumbitsolutions.com/mmhelp/,https://docs.quantumbitsolutions.com/products/android/free-guide/?utm_source=wordpress&utm_medium=redirect&utm_campaign=help-migration&utm_content=mmhelp,301,Android Free User Manual
https://quantumbitsolutions.com/arduino-modbus-server/,https://docs.quantumbitsolutions.com/technical/arduino-server/?utm_source=wordpress&utm_medium=redirect&utm_campaign=help-migration&utm_content=arduino-modbus-server,301,Arduino Modbus Server
https://quantumbitsolutions.com/sheets/,https://docs.quantumbitsolutions.com/guides/android-sheets-addon/?utm_source=wordpress&utm_medium=redirect&utm_campaign=help-migration&utm_content=sheets,301,Google Sheets Integration
https://quantumbitsolutions.com/hardware/,https://docs.quantumbitsolutions.com/guides/android-hardware/?utm_source=wordpress&utm_medium=redirect&utm_campaign=help-migration&utm_content=hardware,301,Hardware Setup
https://quantumbitsolutions.com/address/,https://docs.quantumbitsolutions.com/guides/6-digit-addressing/?utm_source=wordpress&utm_medium=redirect&utm_campaign=help-migration&utm_content=address,301,6-Digit Addressing
https://quantumbitsolutions.com/bluetooth/,https://docs.quantumbitsolutions.com/guides/android-hardware/?utm_source=wordpress&utm_medium=redirect&utm_campaign=help-migration&utm_content=bluetooth,301,Modbus Bluetooth
https://quantumbitsolutions.com/faq/,https://docs.quantumbitsolutions.com/support/faq/?utm_source=wordpress&utm_medium=redirect&utm_campaign=help-migration&utm_content=faq,301,FAQ
https://quantumbitsolutions.com/importexport/,https://docs.quantumbitsolutions.com/guides/import-export/?utm_source=wordpress&utm_medium=redirect&utm_campaign=help-migration&utm_content=importexport,301,Import and Export
https://quantumbitsolutions.com/errors/,https://docs.quantumbitsolutions.com/guides/error-codes/?utm_source=wordpress&utm_medium=redirect&utm_campaign=help-migration&utm_content=errors,301,Error Codes
https://quantumbitsolutions.com/server/,https://docs.quantumbitsolutions.com/products/android/advanced-guide/?utm_source=wordpress&utm_medium=redirect&utm_campaign=help-migration&utm_content=server#modbus-server-mode-slave,301,Modbus Server
https://quantumbitsolutions.com/sensor-1/,https://docs.quantumbitsolutions.com/products/android/advanced-guide/?utm_source=wordpress&utm_medium=redirect&utm_campaign=help-migration&utm_content=sensor-1#sensor-server-mode,301,Sensor Server
https://quantumbitsolutions.com/serialport/,https://docs.quantumbitsolutions.com/guides/android-hardware/?utm_source=wordpress&utm_medium=redirect&utm_campaign=help-migration&utm_content=serialport#usb-otg-serial-adapters,301,Serial Ports
https://quantumbitsolutions.com/help-test/,https://docs.quantumbitsolutions.com/support/?utm_source=wordpress&utm_medium=redirect&utm_campaign=help-migration&utm_content=help-test,301,Help Test Page
https://quantumbitsolutions.com/purchase/,https://docs.quantumbitsolutions.com/downloads-purchase/?utm_source=wordpress&utm_medium=redirect&utm_campaign=purchase-migration&utm_content=purchase,301,Purchase page to downloads hub (future-proof CI/CD)
